kod_stacji,nazwa_stacji,lon,lat,temperatura_gruntu,temperatura_gruntu_data,wiatr_kierunek,wiatr_kierunek_data,wiatr_srednia_predkosc,wiatr_srednia_predkosc_data,wiatr_predkosc_maksymalna,wiatr_predkosc_maksymalna_data,wilgotnosc_wzgledna,wilgotnosc_wzgledna_data,wiatr_poryw_10min,wiatr_poryw_10min_data,opad_10min,opad_10min_data
350200575,TARNÓW,20.941944,50.025556,9.6,2025-01-28 17:50:00,147,2025-01-28 17:50:00,4,2025-01-28 17:50:00,7.8,2025-01-28 17:50:00,66.8,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
350210585,SANDOMIERZ,21.715833,50.696667,9.4,2025-01-28 17:50:00,170,2025-01-28 17:50:00,5.1,2025-01-28 17:50:00,9.7,2025-01-28 17:50:00,63,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250190220,ŁAZY,19.383889,50.431111,,,,,,,,,,,,,,
250190310,MACZKI,19.262778,50.258611,,,,,,,,,,,,,0,2025-01-28 17:50:00
250200010,BARTKÓW,20.649722,50.978611,,,,,,,,,,,,,0,2025-01-28 15:50:00
250200110,CISÓW,20.902778,50.758611,,,,,,,,,,,,,0,2025-01-28 17:50:00
250200130,KLISZÓW,20.524722,50.6125,7.97,2025-01-28 17:50:00,117.6,2025-01-28 17:50:00,4.1,2025-01-28 17:50:00,7.4,2025-01-28 17:50:00,77.58,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250200210,MIECHÓW,20.032778,50.362778,5.05,2025-01-28 17:50:00,112,2025-01-28 17:50:00,1.2,2025-01-28 17:50:00,3.7,2025-01-28 17:50:00,81.29,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250200230,BORUSOWA,20.786944,50.277778,8.58,2025-01-28 17:50:00,134,2025-01-28 17:50:00,5,2025-01-28 17:50:00,6.5,2025-01-28 17:50:00,75.91,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250200250,RADZIEMICE,20.230833,50.253333,,,,,,,,,,,,,0,2025-01-28 17:50:00
